Debit,DATE,Description,Credit,Amount,,,,,
Discover It Credit Card,2/16/2020,ALDI,Groceries,$7.52 ,,,,,
Capital One Savings,2/16/2020,Transfer,Capital One Checking,"$2,000.00 ",,,,,
Capital One Savor,2/17/2020,ALLIANZ EVENT INS,Activities,$20.80 ,,,,,
Citi Double Cash Back,2/17/2020,T-MOBILE STORE #4775 COLUMBIA,Electronics,$10.60 ,,,,,
Capital One Savor,2/18/2020,TM *AJR,Activities,$287.00 ,,,,,
Citi Double Cash Back,2/18/2020,MOUS PRODUCTS LTD,Electronics,$49.99 ,,,,,
Capital One Checking,2/18/2020,Transfer,Paypal,$320.08 ,,,,,
Paypal,2/18/2020,Groomsmen Gifts,Wedding,$320.08 ,,,,,
Capital One Savor,2/19/2020,COLDSTONE #22069   QPS,Snacks,$14.82 ,,,,,
Capital One Savor,2/19/2020,ANYWHERE INC,Wedding,$27.89 ,,,,,
Capital One Savor,2/19/2020,PTISKY ARENAL,Wedding,$174.72 ,,,,,
Citi Double Cash Back,2/19/2020,LAUREL FOOT AND ANKLE LAUREL,Doctor Visit,$188.05 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$19.07 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$9.79 ,,,,,
Amazon Store Card,2/20/2020,AMAZON MARKETPLACE,Clothing,$116.55 ,,,,,
Citi Double Cash Back,2/20/2020,APPLE.COM/US,Electronics,$740.94 ,,,,,
Citi Double Cash Back,2/20/2020,BESTBUYCOM,Electronics,$539.53 ,,,,,
Citi Double Cash Back,2/20/2020,APPLE.COM/US,Electronics,$0.99 ,,,,,
CACI,2/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,2/21/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,2/21/2020,PAYCHECK,Capital One Savings,$529.32 ,,,,,
CACI,2/21/2020,PAYCHECK,Capital One Savings,"$1,164.29 ",,,,,
CACI,2/21/2020,PAYCHECK,TD Bank,$348.00 ,,,,,
CACI,2/21/2020,PAYCHECK,TD Bank,$350.00 ,,,,,
CACI,2/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/21/2020,PAYCHECK,Tower FCU Checking,$164.00 ,,,,,
CACI,2/21/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,2/21/2020,PAYCHECK,401k - Syd,$370.04 ,,,,,
CACI Contr.,2/21/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,2/21/2020,PAYCHECK,401k - Syd,$185.02 ,,,,,
Tower FCU Checking,2/21/2020,Payment to 407841-10L,Tower FCU Car Loan,$654.16 ,,,,,
CACI,2/21/2020,PAYCHECK,HSA,$83.33 ,,,,,
Venmo,2/21/2020,Testing money from iMessage,Activities,$1.00 ,,,,,
Volleyball,2/21/2020,Jared gave me money for Doubles,Venmo,$30.00 ,,,,,
Citi Double Cash Back,2/22/2020,TURKEY HILL #0024,Snacks,$6.67 ,,,,,
Citi Double Cash Back,2/22/2020,DUNKIN #348466,Coffee Shops,$10.67 ,,,,,
Capital One Savor,2/24/2020,DOMINO'S 4620,Dining Out,$21.32 ,,,,,
Citi Double Cash Back,2/24/2020,CHIPOTLE ONLINE,Delivery/ Carry-Out,$13.98 ,,,,,
Citi Double Cash Back,2/24/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$10.89 ,,,,,
Capital One Savor,2/26/2020,FOODSBY,Dining Out,$11.92 ,,,,,
Amazon Store Card,2/26/2020,AMAZON MARKETPLACE,Electronics,$8.47 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Citi,$44.48 ,,,,,
Cashback - Citi,2/27/2020,Redeemed for Apple Stuff,Citi Double Cash Back,$438.62 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Discover,$20.09 ,,,,,
Cashback,2/27/2020,Cashback - addition,Cashback - Savor,$47.28 ,,,,,
Cashback - Savor,2/27/2020,Redeemed for Apple Stuff,Capital One Savor,$308.26 ,,,,,
Delivery/ Carry-Out,2/27/2020,CHIPOTLE ONLINE,Citi Double Cash Back,$8.09 ,,,,,
Capital One Checking,2/28/2020,PAYMENT - Thank You,BofA Cash Card,$680.49 ,,,,,
Discover It Credit Card,2/28/2020,WEIS Markets,Groceries,$18.57 ,,,,,
Discover It Credit Card,2/28/2020,Aldi,Groceries,$130.86 ,,,,,
Capital One Savor,2/28/2020,Hunan Lion,Delivery/ Carry-Out,$23.59 ,,,,,
Checking Interest,2/29/2020,Monthly Interest Paid,Capital One Checking,$0.56 ,,,,,
Savings Interest,2/29/2020,Monthly Interest Paid,Capital One Savings,$21.75 ,,,,,
Chase Sapphire,2/29/2020,ST JOHN'S JEWELERS,Wedding,"$1,431.00 ",,,,,
Citi Double Cash Back,2/29/2020,STARRY NIGHT BAKERY 4108719131 MD,Activities,$58.30 ,,,,,
Discover It Credit Card,2/29/2020,Michaels,Wedding,$35.04 ,,,,,
Checking Interest,2/29/2020,DiVIDEND / Dividend,Tower FCU Checking,$0.03 ,,,,,
Savings Interest,2/29/2020,DiVIDEND / Dividend,Tower FCU Savings,$0.02 ,,,,,
Discover It Credit Card,3/1/2020,WEGMANS COLUMBIA #47,Snacks,$18.02 ,,,,,
